Country Rank,Country/Territory,Country Code,Region,CPI 2014,Number of Surveys Used,Std Error,Min,Max,90% Lower CI,90% Upper CI,AFDB,BF (SGI),BF (BTI),IMD,ICRG,WB,WEF,WJP,EIU,GI,PERC,FH,
55,Lesotho,LSO,AF,49,5,3.55,42,63,43,55,42,,45,,,47,49,,,63,,,
55,Namibia,NAM,AF,49,5,4.00,38,63,42,56,,,49,,50,,47,,38,63,,,
55,Rwanda,RWA,AF,49,4,3.23,40,55,44,54,55,,40,,,47,,,,52,,,
55,Saudi Arabia,SAU,ME,49,5,6.69,36,73,38,60,,,36,,41,,73,,54,42,,,
61,Croatia,HRV,EU,48,9,3.25,31,66,43,53,,49,66,40,31,,46,47,54,52,,50,
61,Ghana,GHA,AF,48,8,3.01,37,58,43,53,55,,49,,41,58,37,37,54,52,,,
63,Cuba,CUB,AM,46,4,4.46,36,54,39,53,,,36,,41,,,,54,52,,,
64,Oman,OMN,ME,45,5,6.55,28,66,34,56,,,28,,41,,66,,38,52,,,
64,The FYR of Macedonia,MKD,EE,45,6,5.92,21,66,35,55,,,49,,,,66,46,21,42,,47,
64,Turkey,TUR,EE,45,8,2.69,35,57,41,49,,57,53,42,35,,47,48,38,42,,,
67,Kuwait,KWT,ME,44,5,5.24,32,63,35,53,,,32,,41,,46,,38,63,,,
67,South Africa,ZAF,AF,44,7,2.41,35,54,40,48,,,45,35,41,,49,42,54,42,,,
69,Brazil,BRA,AM,43,7,4.01,32,62,36,50,,,62,32,41,,35,42,38,52,,,
69,Bulgaria,BGR,EU,43,9,2.82,31,58,38,48,,49,58,36,31,,47,35,38,42,,47,
